command,domain,validation,authorization,expected_result,published_events
RegisterStudent,Student Relationship,Aggregate exists in state [prospect]; Required identity/contact fields valid; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; self-service only for permitted registration commands,Aggregate transitions to [applicant] or returns a stable business error without partial change.,StudentRelationshipStateChanged (applicant); AuditRecorded when command is privileged or academically consequential
CompleteRegistration,Student Relationship,Aggregate exists in state [applicant]; Identity verified and profile minimum complete; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; self-service only for permitted registration commands,Aggregate transitions to [registered] or returns a stable business error without partial change.,StudentRelationshipStateChanged (registered); AuditRecorded when command is privileged or academically consequential
ActivateStudentRelationship,Student Relationship,Aggregate exists in state [registered]; Academy accepts relationship or enrollment activates; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; self-service only for permitted registration commands,Aggregate transitions to [active_student] or returns a stable business error without partial change.,StudentRelationshipStateChanged (active_student); AuditRecorded when command is privileged or academically consequential
DeactivateStudentRelationship,Student Relationship,Aggregate exists in state [active_student]; No active entitlement or explicit administrative action; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; self-service only for permitted registration commands,Aggregate transitions to [inactive_student] or returns a stable business error without partial change.,StudentRelationshipStateChanged (inactive_student); AuditRecorded when command is privileged or academically consequential
ReactivateStudentRelationship,Student Relationship,Aggregate exists in state [inactive_student]; Eligibility and account security valid; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; self-service only for permitted registration commands,Aggregate transitions to [active_student] or returns a stable business error without partial change.,StudentRelationshipStateChanged (active_student); AuditRecorded when command is privileged or academically consequential
MarkAlumnus,Student Relationship,Aggregate exists in state [active_student]; No active preparation and academy alumni criteria met; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; self-service only for permitted registration commands,Aggregate transitions to [alumnus] or returns a stable business error without partial change.,StudentRelationshipStateChanged (alumnus); AuditRecorded when command is privileged or academically consequential
ReengageStudent,Student Relationship,Aggregate exists in state [alumnus]; New enrollment or reactivation approved; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; self-service only for permitted registration commands,Aggregate transitions to [active_student] or returns a stable business error without partial change.,StudentRelationshipStateChanged (active_student); AuditRecorded when command is privileged or academically consequential
SuspendStudentRelationship,Student Relationship,"Aggregate exists in state [any_non_archived]; Security, conduct or administrative policy; request is idempotent where externally repeatable; referenced versions and academy scope are valid.",Administrator or Super Administrator; self-service only for permitted registration commands,Aggregate transitions to [suspended] or returns a stable business error without partial change.,StudentRelationshipStateChanged (suspended); AuditRecorded when command is privileged or academically consequential
ReinstateStudentRelationship,Student Relationship,Aggregate exists in state [suspended]; Suspension resolved; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; self-service only for permitted registration commands,Aggregate transitions to [active_student/inactive_student] or returns a stable business error without partial change.,StudentRelationshipStateChanged (active_student/inactive_student); AuditRecorded when command is privileged or academically consequential
ArchiveStudentRelationship,Student Relationship,Aggregate exists in state [inactive_student/alumnus/suspended]; Retention and dependency checks pass; request is idempotent where externally repeatable; referenced versions and academy scope are valid.,Administrator or Super Administrator; self-service only for permitted registration commands,Aggregate transitions to [archived] or returns a stable business error without partial change.,StudentRelationshipStateChanged (archived); AuditRecorded when command is privileged or academically consequential
