event,producer,consumers,payload,business_significance
IdentityRegistered,Identity & Access,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Identity & Access fact so dependent domains can react without direct database coupling.
IdentityVerified,Identity & Access,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Identity & Access fact so dependent domains can react without direct database coupling.
SessionStarted,Identity & Access,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Marks the authoritative beginning of a timed or controlled business process.
SessionRevoked,Identity & Access,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Removes an entitlement or permission and requires downstream access refresh.
MFAEnrolled,Identity & Access,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Communicates a material Identity & Access fact so dependent domains can react without direct database coupling.
AccountSuspended,Identity & Access,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Blocks further activity while preserving history and opening operational follow-up.
StudentRegistered,Student Relationship,Academic Intelligence; Communication,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; studentRelationshipId; personId; academyId; state?,Communicates a material Student Relationship fact so dependent domains can react without direct database coupling.
StudentActivated,Student Relationship,Academic Intelligence; Communication,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; studentRelationshipId; personId; academyId; state?,Begins an authorized effective lifecycle state.
StudentInactivated,Student Relationship,Academic Intelligence; Communication,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; studentRelationshipId; personId; academyId; state?,Begins an authorized effective lifecycle state.
StudentBecameAlumnus,Student Relationship,Academic Intelligence; Communication,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; studentRelationshipId; personId; academyId; state?,Communicates a material Student Relationship fact so dependent domains can react without direct database coupling.
AcademyCreated,Academy,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Establishes a new canonical business object for downstream workflows.
AcademyPolicyChanged,Academy,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Notifies dependent domains that a material policy or state has changed.
AcademySuspended,Academy,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Blocks further activity while preserving history and opening operational follow-up.
MembershipAssigned,Academy,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,"Creates a scoped responsibility, entitlement or planned activity."
SponsorAccessGranted,Sponsor Relationship,Audit & Compliance; Communication,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; sponsorRelationshipId; studentId; visibilityPolicyVersionId; state,Communicates a material Sponsor Relationship fact so dependent domains can react without direct database coupling.
SponsorAccessChanged,Sponsor Relationship,Audit & Compliance; Communication,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; sponsorRelationshipId; studentId; visibilityPolicyVersionId; state,Notifies dependent domains that a material policy or state has changed.
SponsorAccessRevoked,Sponsor Relationship,Audit & Compliance; Communication,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; sponsorRelationshipId; studentId; visibilityPolicyVersionId; state,Removes an entitlement or permission and requires downstream access refresh.
ExamProductCreated,Exam Product & Specification,Audit & Compliance; interested projections by subscription,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Establishes a new canonical business object for downstream workflows.
ExamSpecificationPublished,Exam Product & Specification,Competency Framework; Course & Offering,eventId: Identifier; eventVersion: Integer; occurredAt: Timestamp; recordedAt: Timestamp; correlationId: Identifier; causationId: Identifier; actorId: Identifier?; academyId: Identifier?; aggregateId: Identifier; aggregateVersion: Integer; changeSummary; effectiveAt,Makes an approved immutable version eligible for governed use.
