Phase,Programme,Epic,Feature / Scope,Dependencies,Acceptance Criteria,Primary Risk,Deliverable
Phase 1,Platform Foundation,Repository & Toolchain,"Create monorepo, package boundaries, lint/type/test standards and dependency rules.",Architecture and EDR approval,"Build, type-check, lint and test run consistently locally and in CI.",Tooling fragmentation,Working engineering platform
Phase 1,Platform Foundation,Environments & CI/CD,"Create development, staging and production deployment pipelines with secrets and approvals.",Repository foundation,Repeatable deployment with rollback evidence.,Environment drift,Controlled deployment pipeline
Phase 1,Platform Foundation,Observability Foundation,"Implement trace context, structured logs, metrics, health endpoints and alert routing.",Application skeleton,Every service emits correlated telemetry.,Unobservable early defects,Operational baseline
Phase 2,"Identity, Academy & Authorization",Identity Adapter,Integrate authentication through a provider adapter and secure session boundary.,Phase 1,Authentication flows and staff MFA pass security tests.,Provider coupling,Trusted identity layer
Phase 2,"Identity, Academy & Authorization",Academy Scope & Permissions,"Implement academy membership, permission evaluation and RLS foundations.",Identity,Cross-tenant negative tests pass.,Tenant leakage,Authorisation platform
Phase 3,"Exam Specification, Course, Enrollment & Goals",Exam Specification Registry,"Implement versioned exam products, score scales and policy configuration.",Phase 2,Historical versions remain reproducible.,Hard-coded exam logic,Exam specification module
Phase 3,"Exam Specification, Course, Enrollment & Goals",Course & Enrollment,"Implement course versions, offerings, cohorts and active entitlement.",Academy and exam specification,Only active enrolled students receive access.,Access inconsistency,Course entitlement
Phase 3,"Exam Specification, Course, Enrollment & Goals",Goal Management,Implement versioned goals and recalculation triggers.,Enrollment,Material goal changes preserve history and emit events.,Silent goal mutation,Goal module
Phase 4,"Preparation Journey, Diagnostics & Workspace",Preparation Journey,Implement journey lifecycle and snapshots.,Enrollment and goals,Journey state changes follow canonical rules.,Overlapping state ownership,Journey orchestration
Phase 4,"Preparation Journey, Diagnostics & Workspace",Diagnostic Delivery,Implement diagnostic policy using the shared delivery kernel.,Journey and assessment foundation,Baseline evidence and gap analysis produced.,Duplicate assessment code,Diagnostic capability
Phase 4,"Preparation Journey, Diagnostics & Workspace",Learning Workspace,Build authorised workspace composition and read projection.,"Journey, enrollment and course",Workspace shows only permitted capability state.,Read model becoming source of truth,Student preparation experience
Phase 5,"Competency, Learning Paths & Question Bank",Competency Framework,Implement immutable versioned competency graphs and mappings.,Exam specification,All academic objects map to approved competencies.,Taxonomy divergence,Academic spine
Phase 5,"Competency, Learning Paths & Question Bank",Learning Path & Study Plan,"Implement path generation, scheduling and revisions.",Diagnostics and competencies,"Plans reflect goals, availability and prerequisites.",Unexplainable personalisation,Personalised route
