Domain,Accountable Engineering Team,Business Owner,Responsibilities,Allowed Dependencies,Forbidden Dependencies,Escalation Path
Identity & Access,Platform Security Engineering,Platform Security Team,Registration; verification; authentication; session management; MFA; account recovery; service identities; identity-provider federation.,Platform Operations; Audit & Compliance.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Security Lead → Chief Software Engineer → Architecture Governance Board
Student Relationship,Student Platform Engineering,Student Services / Product Operations,Prospect conversion; student profile status; onboarding; re-engagement; alumni classification; relationship history.,Identity & Access; Enrollment; Communication.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Academy,Tenant Platform Engineering,Platform Administration,Academy creation; settings; branding; membership; academy-level policies; feature entitlements.,Identity & Access; Audit & Compliance.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Sponsor Relationship,Privacy & Delegated Access Engineering,Student Services / Privacy Officer,Sponsor linkage; consent; visibility scope; access expiry; revocation; sponsor communications.,Identity & Access; Student Relationship; Enrollment; Audit & Compliance.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Security Lead → Chief Software Engineer → Architecture Governance Board
Exam Product & Specification,Exam Specification Engineering,Chief Academic Office,Exam products; editions; sections; modules; score scales; timing; tools; question families; accommodations; result interpretation.,Academic Publishing; Competency Framework.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Competency Framework,Academic Model Engineering,Academic Standards Team,Competency hierarchies; observable indicators; prerequisite relationships; mappings; framework versions.,Exam Product & Specification; Academic Publishing.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Course & Offering,Course Platform Engineering,Academic Product Management,Courses; course versions; offerings; cohorts; instructors; capability configuration; availability windows.,Academy; Exam Product & Specification; Learning Content.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Enrollment,Enrollment Engineering,Academy Administration,Enrollment approval; activation; dates; suspension; transfer; completion; curriculum pinning; entitlement checks.,Student Relationship; Course & Offering; Academy.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Goal Management,Preparation Experience Engineering,Student Success Product Team,Target exam; overall and sectional target scores; target date; available hours; preferences; prior results; goal revisions.,Exam Product & Specification; Enrollment.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
Preparation Journey,Preparation Experience Engineering,Preparation Experience Team,Journey creation; stage transitions; baseline coordination; active path and plan references; journey snapshots; closure and retake decisions.,Enrollment; Goal Management; Diagnostic Assessment; Learning Path; Exam Readiness.,Direct writes to another domain's source-of-truth records; Browser-side enforcement of business invariants,Domain Tech Lead → Principal Engineering Manager → Engineering Review Board
