rule_id,category,description,reason,priority,affected_domains,expected_behavior
IDN-001,Identity,A person must have one canonical profile even when holding multiple roles or academy memberships.,"Protect identity integrity, scoped access and traceable responsibility.",Critical,Identity & Access; Student Relationship; Academy,Identity reconciliation must link provider identities to one canonical person or open a controlled merge review.
IDN-002,Identity,Authentication identity and application profile must remain separate records.,"Protect identity integrity, scoped access and traceable responsibility.",Critical,Identity & Access; Student Relationship; Academy,Authentication changes must not overwrite academic or relationship data.
IDN-003,Identity,Human users must never share an account.,"Protect identity integrity, scoped access and traceable responsibility.",Critical,Identity & Access; Student Relationship; Academy,The system must reject or investigate shared-account patterns and require individual identities.
IDN-004,Identity,Email or equivalent identity verification is required before privileged or assessment access.,"Protect identity integrity, scoped access and traceable responsibility.",High,Identity & Access; Student Relationship; Academy,Unverified identities may finish onboarding but cannot receive protected entitlements.
IDN-005,Identity,Multi-factor authentication is mandatory for privileged staff roles.,"Protect identity integrity, scoped access and traceable responsibility.",Critical,Identity & Access; Student Relationship; Academy,Privileged access must be blocked until an approved second factor is enrolled.
IDN-006,Identity,Sessions must be revocable by the user and authorized administrators.,"Protect identity integrity, scoped access and traceable responsibility.",High,Identity & Access; Student Relationship; Academy,Revocation must invalidate future requests and record a security event.
IDN-007,Identity,Account suspension must not delete academic history.,"Protect identity integrity, scoped access and traceable responsibility.",Critical,Identity & Access; Student Relationship; Academy,"Suspension blocks authentication while preserving enrollments, attempts, grades and audit evidence."
IDN-008,Identity,Roles must be assigned through scoped RoleAssignment records rather than a single profile field.,"Protect identity integrity, scoped access and traceable responsibility.",Critical,Identity & Access; Student Relationship; Academy,"Authorization must evaluate active role, academy and resource scope."
IDN-009,Identity,A person may hold multiple non-conflicting roles.,"Protect identity integrity, scoped access and traceable responsibility.",High,Identity & Access; Student Relationship; Academy,The system must combine only permissions valid in the current scope and enforce separation-of-duties conflicts.
IDN-010,Identity,"Sponsor access must use a sponsor identity and relationship, never the student's credentials.","Protect identity integrity, scoped access and traceable responsibility.",Critical,Identity & Access; Student Relationship; Academy,Sponsor actions must be attributable to the sponsor and limited by consent.
IDN-011,Identity,Service identities must be distinguishable from human identities.,"Protect identity integrity, scoped access and traceable responsibility.",High,Identity & Access; Student Relationship; Academy,"Automated actions must carry service identity, purpose and credential rotation metadata."
IDN-012,Identity,Recovery flows must apply rate limits and verified channels.,"Protect identity integrity, scoped access and traceable responsibility.",Critical,Identity & Access; Student Relationship; Academy,Repeated or suspicious recovery attempts must be throttled and audited.
IDN-013,Identity,"Identity merge must be a controlled, reversible administrative process.","Protect identity integrity, scoped access and traceable responsibility.",High,Identity & Access; Student Relationship; Academy,Duplicate profiles must not be silently merged; source identifiers and affected relationships must be reconciled.
IDN-014,Identity,Account closure requests must respect legal and academic retention obligations.,"Protect identity integrity, scoped access and traceable responsibility.",High,Identity & Access; Student Relationship; Academy,Personal data eligible for erasure must be separated from records that must be retained or de-identified.
IDN-015,Identity,Security-sensitive profile changes must notify the affected user.,"Protect identity integrity, scoped access and traceable responsibility.",High,Identity & Access; Student Relationship; Academy,"Email, phone, MFA or password changes must trigger a non-suppressible security notice."
IDN-016,Identity,"Risk-based throttling must apply to login, registration and verification attempts.","Protect identity integrity, scoped access and traceable responsibility.",High,Identity & Access; Student Relationship; Academy,The platform must limit abuse without locking out legitimate users indefinitely.
IDN-017,Identity,Authorization must not rely permanently on stale token claims.,"Protect identity integrity, scoped access and traceable responsibility.",Critical,Identity & Access; Student Relationship; Academy,"Server authorization must resolve current membership, role and scope for sensitive operations."
IDN-018,Identity,"Impersonation, if enabled for support, must require elevated permission, visible indication and complete audit.","Protect identity integrity, scoped access and traceable responsibility.",Critical,Identity & Access; Student Relationship; Academy,"The session must record original actor, impersonated subject, reason and duration."
ENR-001,Enrollment,Only an active enrollment may unlock a course Learning Workspace.,"Ensure course entitlement is explicit, reproducible and isolated by learner, academy and offering.",Critical,Enrollment; Course & Offering; Preparation Journey; Learning Workspace,Every workspace request must validate current enrollment state and access dates server-side.
